iter	Logloss
0	0.6924186136
1	0.6916836934
2	0.6909952816
3	0.6902987009
4	0.6896297394
5	0.688916363
6	0.6882300111
7	0.6875415626
8	0.686833674
9	0.6861475234
10	0.6854420618
11	0.6847612912
12	0.6840954505
13	0.6834485732
14	0.6827855743
15	0.6820988534
16	0.6813972582
17	0.6807351337
18	0.6800926669
19	0.6794440245
20	0.6788094862
21	0.6782188819
22	0.6775655515
23	0.6768692124
24	0.6762356424
25	0.6756260767
26	0.6750422589
27	0.6743755026
28	0.6737247949
29	0.6730691886
30	0.6723982198
31	0.6717524496
32	0.6710742924
33	0.6704988627
34	0.6699394188
35	0.6692966643
36	0.6686493318
37	0.6680136209
38	0.6674431278
39	0.6668088551
40	0.666190997
41	0.6655308118
42	0.6649056029
43	0.6643006276
44	0.6636799734
45	0.6631152632
46	0.6624744293
47	0.6618472538
48	0.6612135328
49	0.660572863
50	0.6599352023
51	0.6593162463
52	0.6587046949
53	0.6580888033
54	0.6574668451
55	0.6568734537
56	0.6562382263
57	0.6556449374
58	0.6550909879
59	0.6544877408
60	0.6538791566
61	0.6532726822
62	0.6527310324
63	0.6521823711
64	0.6516328244
65	0.6510709106
66	0.6504815412
67	0.6499201115
68	0.6493331661
69	0.6487373018
70	0.6481819404
71	0.6475942701
72	0.6470495882
73	0.6465180843
74	0.6459217926
75	0.6453300183
76	0.6447593181
77	0.6441763022
78	0.6436384843
79	0.643097952
80	0.6425438303
81	0.6419797235
82	0.6413871743
83	0.6408371582
84	0.6402457658
85	0.6396781281
86	0.6391158964
87	0.638558642
88	0.63804005
89	0.63746703
90	0.6369085967
91	0.6364044494
92	0.6358774771
93	0.6353114046
94	0.6348096599
95	0.6342836405
96	0.6337194998
97	0.6331803222
98	0.6326197573
99	0.6321271266
100	0.6316518544
101	0.6311700808
102	0.630652708
103	0.6301226871
104	0.6295885866
105	0.6290547144
106	0.6285075937
107	0.6279804465
108	0.6274937264
109	0.6269728494
110	0.6264565174
111	0.625969739
112	0.6254442379
113	0.6250224458
114	0.6245167442
115	0.6240229663
116	0.6235701782
117	0.6230592338
118	0.6225382782
119	0.6220302616
120	0.6215106797
121	0.6209856193
122	0.620499552
123	0.6199657096
124	0.6194729812
125	0.6190060218
126	0.6185083388
127	0.6180135115
128	0.6175290946
129	0.6170103768
130	0.6165096648
131	0.616019848
