iter	Passed	Remaining
398	295896	445697
399	296664	444996
400	297409	444260
401	298164	443538
402	298906	442796
403	299654	442065
404	300401	441331
405	301149	440598
406	301892	439857
407	302638	439123
408	303385	438388
409	304133	437655
410	304903	436954
411	305668	436245
412	306412	435505
413	307159	434772
414	307893	434018
415	308609	433239
416	309385	432546
417	310149	431834
418	310878	431075
419	311675	430408
420	312417	429667
421	313144	428903
422	313887	428162
423	314608	427393
424	315336	426632
425	316072	425881
426	316815	425140
427	317541	424378
428	318264	423611
429	318989	422847
430	319715	422083
431	320432	421309
432	321137	420520
433	321860	419753
434	322616	419030
435	323344	418271
436	324070	417509
437	324839	416803
438	325598	416083
439	326332	415331
440	327052	414562
441	327854	413897
442	328592	413151
443	329313	412383
444	330035	411616
445	330753	410845
446	331474	410078
447	332191	409307
448	332934	408568
449	333655	407801
450	334377	407035
451	335105	406278
452	335822	405507
453	336590	404798
454	337350	404079
455	338072	403314
456	338805	402563
457	339553	401829
458	340310	401106
459	341037	400348
460	341760	399585
461	342490	398831
462	343217	398072
463	344008	397389
464	344737	396632
465	345463	395874
466	346229	395161
467	346958	394405
468	347683	393646
469	348408	392886
470	349137	392130
471	349866	391375
472	350596	390622
473	351325	389867
474	352047	389105
475	352780	388354
476	353505	387595
477	354229	386836
478	354964	386088
479	355695	385337
480	356402	384559
481	357118	383791
482	357870	383062
483	358578	382286
484	359297	381521
485	360060	380804
486	360778	380040
487	361505	379284
488	362220	378516
489	362945	377759
490	363653	376984
491	364364	376213
492	365074	375442
493	365795	374680
494	366513	373917
495	367221	373144
496	367945	372387
497	368664	371626
498	369393	370873
499	370126	370126
500	370853	369372
501	371583	368623
502	372304	367863
503	373037	367116
504	373754	366353
505	374477	365597
506	375213	364852
507	376003	364160
508	376727	363405
509	377453	362651
510	378176	361895
511	378911	361150
512	379661	360419
513	380409	359687
514	381138	358935
515	381871	358189
516	382601	357440
517	383376	356732
518	384128	356003
519	384849	355245
520	385563	354481
521	386275	353715
522	386986	352949
523	387707	352192
524	388432	351438
525	389161	350688
526	389890	349939
527	390618	349188
528	391349	348441
529	392107	347718
530	392848	346978
531	393579	346231
532	394301	345475
533	395070	344762
534	395810	344022
535	396528	343263
536	397251	342509
537	397979	341759
538	398705	341007
539	399429	340254
540	400134	339485
541	400845	338722
542	401552	337954
543	402264	337191
544	402973	336427
545	403678	335659
546	404387	334894
547	405125	334154
548	405863	333414
549	406572	332650
550	407292	331895
551	408103	331214
552	408821	330457
553	409534	329697
554	410262	328949
555	411000	328209
556	411720	327454
557	412424	326687
558	413137	325927
559	413844	325163
560	414558	324405
561	415285	323656
562	415991	322892
563	416697	322128
564	417411	321369
565	418116	320604
566	418823	319842
567	419535	319083
568	420240	318319
569	420969	317573
570	421678	316813
571	422387	316052
572	423105	315298
573	423873	314582
574	424617	313847
575	425344	313101
576	426078	312359
577	426798	311607
578	427507	310847
579	428238	310103
580	428965	309357
581	429695	308612
582	430421	307865
583	431147	307118
584	431868	306368
585	432615	305636
586	433340	304888
587	434068	304143
588	434799	303400
589	435514	302645
590	436238	301897
591	436959	301147
592	437689	300404
593	438436	299671
594	439165	298927
595	439965	298231
596	440752	297526
597	441521	296808
598	442249	296063
599	442980	295320
600	443705	294573
601	444433	293828
602	445203	293111
603	445946	292375
604	446672	291629
605	447398	290883
606	448146	290150
607	448870	289403
608	449601	288660
609	450331	287917
610	451110	287204
611	451826	286452
612	452557	285709
613	453281	284962
614	453996	284209
615	454720	283461
616	455490	282743
617	456272	282032
618	457002	281289
619	457727	280542
620	458448	279793
621	459171	279046
622	459895	278299
623	460622	277554
624	461344	276806
625	462101	276079
626	462835	275339
627	463567	274597
628	464284	273846
629	465008	273100
630	465742	272359
631	466482	271622
632	467232	270891
633	468012	270177
634	468746	269436
635	469474	268692
636	470201	267948
637	470925	267202
638	471691	266480
639	472443	265749
640	473159	264998
641	473886	264254
642	474605	263505
643	475338	262764
644	476078	262027
645	476805	261283
646	477528	260536
647	478293	259813
648	479016	259067
649	479743	258323
650	480475	257581
651	481204	256839
652	481929	256094
653	482649	255346
654	483380	254605
655	484105	253860
656	484825	253113
657	485554	252370
658	486289	251630
659	487015	250886
660	487783	250164
661	488528	249429
662	489264	248691
663	490023	247963
664	490761	247225
665	491491	246483
666	492215	245738
667	492946	244997
668	493672	244253
669	494405	243513
670	495130	242768
671	495874	242033
672	496610	241295
673	497339	240553
674	498098	239825
675	498831	239084
676	499561	238343
677	500307	237609
678	501034	236866
679	501755	236120
680	502485	235378
681	503221	234639
682	504016	233928
683	504754	233190
684	505482	232448
685	506221	231710
686	506940	230964
687	507669	230222
688	508395	229479
689	509132	228740
690	509857	227997
691	510587	227255
692	511329	226519
693	512055	225776
694	512822	225051
695	513553	224310
696	514280	223568
697	515007	222825
698	515742	222086
699	516474	221346
700	517223	220613
701	517960	219874
702	518691	219134
703	519427	218395
704	520207	217675
705	520946	216938
706	521674	216196
707	522428	215465
708	523158	214723
709	523893	213984
710	524618	213241
711	525352	212501
712	526090	211764
713	526819	211023
714	527548	210281
715	528289	209544
716	529021	208804
717	529776	208073
718	530505	207332
719	531235	206591
720	531967	205851
721	532688	205107
722	533407	204362
723	534138	203621
724	534862	202878
725	535618	202147
726	536391	201423
727	537119	200681
728	537907	199962
729	538725	199254
730	539455	198513
731	540200	197778
732	540936	197039
733	541717	196317
734	542449	195577
735	543184	194838
736	543917	194098
737	544687	193371
738	545425	192633
739	546221	191915
740	546960	191177
741	547701	190440
742	548440	189702
743	549187	188967
744	549930	188231
745	550671	187494
746	551415	186757
747	552201	186035
748	552928	185293
749	553664	184554
750	554423	183823
751	555161	183085
752	555945	182361
753	556677	181621
754	557440	180891
755	558189	180156
756	558922	179416
757	559650	178674
758	560390	177936
759	561117	177195
760	561857	176457
761	562597	175719
762	563343	174983
763	564072	174242
764	564797	173499
765	565529	172759
766	566289	172028
767	567083	171306
768	567846	170575
769	568563	169830
770	569282	169086
771	570013	168345
772	570742	167604
773	571472	166864
774	572208	166125
775	572934	165383
776	573647	164637
777	574367	163894
778	575094	163152
779	575827	162412
780	576556	161671
781	577289	160932
782	578017	160191
783	578743	159449
784	579485	158712
785	580217	157972
786	580983	157242
787	581714	156501
788	582443	155761
789	583176	155021
790	583966	154297
791	584704	153558
792	585469	152827
793	586199	152087
794	586933	151347
795	587662	150607
796	588396	149867
797	589121	149126
798	589850	148385
799	590587	147646
800	591321	146907
801	592048	146166
802	592784	145427
803	593508	144686
804	594249	143948
805	594981	143208
806	595719	142470
807	596450	141730
808	597181	140990
809	597909	140250
810	598667	139516
811	599405	138778
812	600175	138047
813	600909	137308
814	601635	136567
815	602362	135826
816	603114	135091
817	603844	134351
818	604567	133610
819	605307	132872
820	606044	132133
821	606775	131394
822	607510	130655
823	608242	129915
824	608972	129176
825	609709	128437
826	610438	127697
827	611166	126957
828	611933	126225
829	612666	125485
830	613401	124747
831	614127	124006
832	614898	123274
833	615704	122550
834	616467	121816
835	617205	121078
836	617938	120339
837	618683	119602
838	619417	118863
839	620151	118124
840	620887	117385
841	621616	116645
842	622351	115906
843	623081	115166
844	623823	114429
845	624555	113689
846	625287	112950
847	626025	112212
848	626778	111476
849	627503	110735
850	628232	109996
851	628961	109256
852	629681	108514
853	630417	107776
854	631142	107035
855	631910	106302
856	632646	105564
857	633374	104824
858	634106	104085
859	634835	103345
860	635567	102606
861	636296	101866
862	637032	101127
863	637756	100387
864	638494	99649
865	639225	98910
866	639956	98171
867	640681	97430
868	641415	96692
869	642146	95952
870	642906	95218
871	643633	94478
872	644360	93738
873	645093	92999
874	645861	92265
875	646598	91527
876	647354	90792
877	648149	90061
878	648883	89323
879	649611	88583
880	650341	87844
881	651073	87105
882	651803	86365
883	652553	85629
884	653278	84889
885	654009	84150
886	654736	83410
887	655469	82671
888	656204	81933
889	656992	81201
890	657726	80462
891	658456	79723
892	659179	78983
893	659934	78247
894	660669	77508
895	661395	76769
896	662117	76029
897	662845	75289
898	663650	74559
899	664413	73823
900	665137	73083
901	665873	72345
902	666630	71609
903	667363	70870
904	668087	70130
905	668821	69392
906	669544	68652
907	670277	67913
908	671001	67173
909	671741	66435
910	672473	65697
911	673209	64958
912	673985	64224
913	674726	63486
914	675462	62747
915	676194	62009
916	676922	61269
917	677657	60531
918	678394	59793
919	679121	59054
920	679909	58320
921	680652	57582
922	681385	56843
923	682117	56104
924	682845	55365
925	683592	54628
926	684320	53889
927	685072	53152
928	685827	52415
929	686595	51679
930	687320	50939
931	688060	50201
932	688792	49463
933	689524	48724
934	690249	47985
935	690982	47246
936	691710	46507
937	692431	45768
938	693161	45029
939	693895	44291
940	694673	43555
941	695422	42817
942	696214	42082
943	696966	41345
944	697692	40606
945	698450	39869
946	699179	39130
947	699911	38391
948	700646	37653
949	701407	36916
950	702193	36180
951	702928	35441
952	703680	34704
953	704411	33965
954	705165	33227
955	705898	32489
956	706633	31750
957	707365	31011
958	708124	30274
959	708884	29536
960	709634	28798
961	710384	28060
962	711124	27322
963	711899	26585
964	712635	25846
965	713370	25108
966	714099	24369
967	714830	23630
968	715560	22892
969	716286	22153
970	717023	21414
971	717751	20675
972	718508	19938
973	719235	19199
974	719965	18460
975	720727	17722
976	721461	16984
977	722191	16245
978	722930	15507
979	723668	14768
980	724410	14030
981	725172	13292
982	725911	12553
983	726648	11815
984	727393	11077
985	728169	10339
986	728902	9600
987	729637	8861
988	730387	8123
989	731128	7385
990	731867	6646
991	732594	5908
992	733324	5169
993	734063	4430
994	734796	3692
995	735535	2953
996	736283	2215
997	737016	1476
998	737745	738
999	738472	0
